اسم المدير,رقم الجوال
مزارع محمد بديع لانتاج الخضار,970592818742
مزارع محمد خالد طقاطقة للدواجن,970569726264
مزارع محمد نشأت للخضار,970597223481
مزرعة أغنام شهيد,970598305200
مزرعة ابو الرب للاغنام,970599845387
مزرعة ابو الرب للاغنام,970599890107
مزرعة ابو شنب للأغنام,970599828001
مزرعة ابو علبة للاغنام,970598317676
مزرعة احمد شحرور للاغنام,970568616137
مزرعة اشرف ضمايرة للبيوت البلاستيكية,970599587503
مزرعة اشرف للابقار,970599185237
مزرعة الاخرس لتربية الدواجن,970598164496
مزرعة الباسل للاغنام,970598589021
مزرعة البلحاوي للخضار,970598211741
مزرعة المقبل للخضار,970599974333
مزرعة المهند للاغنام,970597483110
مزرعة الياسين للخضار المحمي,970598789069
مزرعة انس للبيوت البلاستيكيه للخضار,970598207395
مزرعة بلال حفيظة للاغنام,970598496385
مزرعة توفيق للخضار و المحميات,970599116538
مزرعة جواليل للاغنام,970598846094
مزرعة حسن زايط,970568739798
مزرعة حكم عمير للأغنام,970569166733
مزرعة خالد عطا الله للخضار,970599433472
مزرعة خالد للخضار المحمي,970592323240
مزرعة خراز للأغنام,970598174149
مزرعة دعاس للدواجن,970569692148
مزرعة راني للدواجن,970568669090
مزرعة رشدي اعمير للخضار,970599270352
مزرعة زيد لانتاج الخضار,970599427685
مزرعة سامي كتانه للاغنام,970599151314
مزرعة ساهر للدفيئات الزراعيه,970597596687
مزرعة سعد حسام للخضار المحمي,970592370811
مزرعة سلام للخضار,970598503570
مزرعة سلامه اتقيوي للخضار,970599206884
مزرعة سيف الدين للأغنام,970592925107
مزرعة شادي لانتاج الخضار المحمي,970597017018
مزرعة عامر عبد الحق للخضار,970597097456
مزرعة عبود,970599378390
مزرعة عز للدواجن,970599974547
مزرعة عصاعصة لانتاج الخضار,970569974490
مزرعة عصام لتجارة الأغنام,970598939249
مزرعة علاء الدين شديد لانتاج الخضار,970599366220
مزرعة علوش للمحمي والمكشوف للخضار,970569477433
مزرعة علي كتانه للدواجن,970568987368
مزرعة عمار برقاوي لانتاج الخضار,970599795240
مزرعة غسان للخضار,970599396106
مزرعة غسان للدواجن,970595726618
مزرعة فؤاد لتجارة الاغنام,970599228374
مزرعة فاروق الحاج احمد للخضار,970599335713
مزرعة فراس للخضار,970595581506
مزرعة لؤي للابقار,970599075582
مزرعة ماهر خندقجي للاغنام,970597221705
مزرعة مجاهد للدفيئات وانتاج الخضار,970598161822
مزرعة محمد اليمني للابقار,970597260292
مزرعة محمد جابر لانتاج الخضار,970569707023
مزرعة محمد رسمي كتانه للخضار المحمي,970568409178
مزرعة محمد سعيد للاغنام,970599073407
مزرعة محمد فهمي للخضار,970569732973
مزرعة محمود حمدان للدجاج اللاحم,970599386402
مزرعة معاذ للدفيئات,970598456440
مزرعة مهدي للبيوت البلاستيكية,970599776725
مزرعة نائل حمدان لانتاج البيض,970598514701
مزرعة ناظم للخضار المحمي,970569973058
مزرعة نصر الله ابو جراد للخضار,970599390045
مزرعة نظام للخضار المحمي,970569283798
مزرعة نهاد شديد للخضار,970597129649
مزرعة نور لتربية الدجاج اللاحم,970599544009
مزرعة هيثم شلحه ,970599151057
مزرعة وسام للخضار المحمي,970595700246
مزرعة وليد لانتاج الخضار,970569742749
مزرعة يزن للخضار المحمي,970569276134
مزرعة يزيد حسين,970568791063
مستودع ابو نزار للغاز وتوزيعه,970568115588
مستودع ثائر لحفظ وتوزيع المواد الغذائية,970599235655
مستودع جميل للقرطاسية,970569059886
مستودع زيد ابراهيم للمواد التموينية,970598590588
مستودع صدام للملابس والاحذيه,970569388668
مستودع مازن للشروات العامة,970599011303
مستودع محمد لتجارة الخضار والزراعة,970592233668
مسمكة ابو المعتز,970599249762
مسمكة بروق,970599610702
مشاوي دلعب,970599338584
مشاوي عبد الناصر ابو زنط,970599473022
مشتل الخريشي للورود,970598512181
مشتل النسيم,970598416181
مشتل فلسطين للزيتون,970599456558
مشغل ابو زيد للالمنيوم,970599608633
مشغل اكرم للخياطة,970599812276
مشغل الفريد للالمنيوم,970599119481
مشغل الفهد للخياطه,970599613809
مشغل جلال شريم للخياطة,970569716620
مشغل حمادة خليل أبو عواد,970598012307
مشغل سائد للالمنيوم,970599535733
مشغل لورا للخياطة,970599222118
مشغل محمد عمار,970597299182
مشغل وسيم تكس للخياطة,970599267558
مصنع البان العائلة,970599789018
مصنع روتم للالعاب,970568703003
مصنع سلطات الايهم,970528885931
مصنع محمد حسين مخلوف لتعبئة التمور,970597667297
مطاحن بن الجهاد,970599292089
مطبخ سامر,970592798799
مطبعة القدس,970599233744
مطحنة قفين,970569921381
مطعم Lavender,970598118021
مطعم أبو نضال,970599456521
مطعم الفردوس,970568061640
مطعم النجاح,970599474587
مطعم بروست الوجبة السريعة,970569262646
مطعم بغداد,970599800824
مطعم بيت ليد الشعبي,970592777284
مطعم شبيك لبيك,970599827048
مطعم وكوفي نت ابو ثائر,970592365150
معرض أناركلي,970599185252
معرض ابو فادي للادوات المنزلية,970599590221
معرض اسامة للاجهزة الكهربائية,970568442552
معرض الشعراوية للدراجات ,970599743051
معرض الطيبي للاتصالات,970598987373
معرض الملاك,970599672458
معرض اينار لتصنيع وبيع تحف وهدايا وبراويز,970599150135
معرض بيلسان للأدوات المنزلية,970599579318
معرض دعباس للبلاستيك,970597013667
معرض طولكرم للادوات المستعملة,970599565256
معرض عصام للشنط والاكسسوارات,970597141490
معرض نور لحجر الديكور,970595619153
معمل القيسي للرخام,970599777592
معمل خليل وخالد للجبص,970599090416
مغسلة العامودي للسيارات,970568796994
مغسلة نور,970599963819
مفروشات أنس,970599320681
مفروشات النعيم,970598060575
مقهى أبي,970568228918
مقهى وبلياردو Sniper,970598847228
مكتب السفاريني للخدمات العامه,970599149240
مكتب العقارية الهندسية,970599359702
مكتب امجد الهندسي,970569999828
مكتبة اصالة,970599555876
مكتبة اقرأ,970569220140
مكتبة البازار الشعبي,970599366224
مكتبة الفادي,970506556467
مكتبة دار الحكمة,970599046664
ملحمة الشافعي,970592964060
ملحمة الطيبات,970598219908
ملحمة القطاوي,970599554149
ملحمة النقاء,970599108478
ملحمة برهم,970599927159
ملحمة جهاد,970597155450
ملحمة فادي,970598023777
مناصره  للملابس الجاهزه,970599544088
منجرة ابراهيم حاج احمد,970569120446
منجرة ابو اسامه,970595906193
منجرة ابو دية,970599251158
منجرة ابو طعمة,970568309122
منجرة ارابيسك,970598597313
منجرة اشرف الحديثة,970599837328
منجرة الشوفاني,970597314211
منجرة العلا الحديثه,970599777664
منجرة الكامل,970568624593
منجرة النور,970599780046
منجرة اليزن,970598224739
منجرة خالد الحديثه,970506715652
منجرة زيدان للاثاث,970598251496
منجرة سامر فحماوي ,970597297307
منجرة طيبة,970568678049
منجرة عبد المؤمن الديك,970569469054
منجرة علوش الهندسية,970599035150
منجرة عوده,970599120154
منجرة مراد,970569302454
منحل ومزرعة الابراهيمي,970599701816
منحلة الاخوة,970598078731
موبايل سنتر,970599395958
ميني ماركت الأمل,970569888443
ميني ماركت البلوي,970597271894
ميني ماركت الرائد,970599579007
ميني ماركت شادي,970507144547
ميني ماركت فراس الطنبوز ,970599386302
ميني ماركت قشوع,970599050532
ميني ماركت قيس ومحمص شحتوت,970597603780
نادي حمادة للانترنت,970599746013
نبع الصفا للعسل,970599826880
نورسين للاطفال,970598205110
نوفوتيه الوسيم,970598347650
نوفوتيه ام علي للملابس,970569034703
نوفوتيه نور,970599430155
نوفوتيه هيثم,970597529072
هدايا هبة,970568626282
هلال للاكسسوارات ولوازم الاتصالات,970597372909
هيدروليك فيصل,970598666654
هيدروليك وائل,970597468966
ورشة الجاموس للف الماتورات,970598122297
يمي كيك,970594051943
Avinuo للالبسة الرجالية,970568100590
CORAL,970599877571
Disney Brands,970598922719
International Cosmetics Store,970598480085
Rand Style للادوات المنزلية,970599640015
Smart Tec Store,970599610470
zeina kids,970598650517
إكس بوكس مروان,970568171088
إكسل للتجارة العامة,970599929503
ألبسة وبرادي كنعان,970598156831
ابداع للفنون,970598123778
ابو السعيد للادوات المنزلية,970592631014
ابو حسنه للمستعمل,970595323369
ابو سعده لبيع اجهزة الحاسوب,970592448485
ابو سعدية للادوات الكهربائية المستعملة,970599435925
ابو شحاده لبيع وصيانة الدراجات الهوائية والكهربائية,970599202710
ابو صفية للادوات الكهربائية المستعملة,970599816798
ابو صليح للتجارة والاستيراد,970599286071
ابو طلال لاعمال الحدادة والديكور,970569677770
احمد لبيع الكرتون الزراعي,970597912516
ازياء اية,970597371272
اسامة للكرميكا,970599610494
استوديو عامر للتصوير,970599747193
اشرف لتجارة الورقيات والاحبار,970597396165
اشرف لفداوي تأجير الدعم والخشب,970599304605
اقرأ للستالايت وكاميرات المراقبة,970599934053
الاء للمنظفات,970599241601
الاخوة للكمبيوتر,970569222582
الاعرج للاطارات والبناشر,970598612733
الامير للاجهزة الكهربائية,970599047577
البلعاوي للمنظفات والكوزماتكس,970599221607
البيت بيتك,970599999865
الجبيهي لمستلزمات التمديدات الكهربائية,970599971527
الجيتاوي لتربية الدواجن,970568057494
الحامد للأجهزة الكهربائية,970569544650
الحداد محمود,970597595228
الحدايدة للخضار والفواكه,970568123279
الخطاط والرسام حميدة,970599351938
الددو لتنجيد المفروشات,970597171514
الدكر مول,970569797673
الرائد للاثاث المستعمل,970598243987
الرياحي للالمنيوم,970599250208
الشرفا لتأجير الكراسي,970598011559
الشلبي لبيع وصيانة الكربورتيرات,970569020297
الشمال للادوات الزراعية,970598133781
الصلاح للمواد التموينية والخضار والفواكه,970599021674
الطويل لتجارة الملابس الجاهزة,970569024307
العميد للالبسه العسكريه,970599558203
العنبتاوي تكنولوجي,970599209115
العوفي للاثاث المستعمل,970595096777
العوفي للادوات المنزلية,970599822754
الغصون للستائر,970599835840
الغول للاراجيل,970569811472
الفاروق لبيع الادوات المستعملة,970599069744
الفحماوي للادوات الكهربائية,970599700671
الفيات للخضار والفواكه,970568500129
القدس لنثريات الالمنيوم,970547800772
الكارم لمواد التنظيف,970598327650
الكترونيات حمزة,970598843950
الكترونيات وكهربائيات ابو المجد,970599338739
اللبدي للاجهزة الكهربائيه والتكييف,970595316445
المتحدة للاكياس الورقية,970598317731
المحبة لاجهزة الكمبيوتر,970597435369
المخلوف للمستعمل,970598641559
المدني للكمبيوتر والحلول التقنية,970599731065
المستشار للمحاسبة والضرائب,970599343322
المعتصم للوازم الخياطة,970598559006
المعرض الصيني,970568700056
المكتب الاستشاري للحلول المحاسبية,970599966000
المنيوم الامل,970599838331
المنيوم محمود صباح,970568624164
المهدي لصيانة المكيفات,970598576857
النعامة للمواد الغذائية,970599235668
النور لتأجير الاخشاب,970598521504
الهنا للمنظفات,970592881248
الوليد للعطور والنثريات,970599544021
امجد للخضار والفواكه,970599640421
انترنت الفحماوي,970595363687
انس للملابس الجاهزة,970568989873
انور صالح لبيع المواد الغذائية,970598525526
ايسر لبيع الزيت والزيتون,970569516877
ايمن للالمنيوم,970568788738
ايهاب قبج للمستعمل,970569752229
باسل لغسيل وكماليات السيارات,970598056334
بدوية للادوات المستعملة,970599010107
برايت للعرايس,970599675782
بركس حسن لتجارة الاغنام والابقار,970597131075
بركس محمد كتانه لتربية وتجارة الاغنام,970569985174
بريك الأمان,970599386418
بسام لبيع الاعلاف,970599970247
بقالة أسد,970599293593
بقالة ابراهيم,970597430771
بقالة ابو تامر,970568175781
بقالة ابو حرب,970599548859
بقالة ابو طارق,970598323209
بقالة ابو عابد,970595155432
بقالة احمد,970599545477
بقالة احمد دبور,970598038253
بقالة اشرف,970598663798
بقالة الاخوة,970599782258
بقالة الاسعد,970569287033
بقالة الاقصى,970598415911
بقالة الامل,970598126308
بقالة الانوار,970599747544
بقالة الجابر للمواد الغذائيه,970568102849
بقالة الجندي,970599966821
بقالة الخليج,970599040681
بقالة الشايب,970599590892
بقالة الشوفاني,970525199529
بقالة الضميري,970552227831
بقالة الطاحونة,970599702358
بقالة الطالب,970599382508
بقالة العوفي,970569554199
بقالة الغانم,970598162696
بقالة الفيات للخضار والفواكه,970569877879
بقالة الفيصل,970592951117
بقالة اللبدي للمواد التموينيه,970522956134
بقالة المربعة,970599090359
بقالة النور,970599224170
بقالة النور,970599757003
بقالة الهناء,970599350319
بقالة اياد الجيوسي,970598456580
بقالة اياد جعارة,970599074728
بقالة ايمن عياط,970599812558
بقالة ايهاب ارشيد,970594070898
بقالة بلال,970598204828
بقالة بلال خندقجي,970597526951
بقالة ثائر,970598305085
بقالة ثابت بكر,970599610526
بقالة جعاعره لبيع المواد الغذائية,970598449851
بقالة جمعة,970595916623
بقالة جميل ابو حمره,970599828096
بقالة جميلة,970597939694
بقالة حسن ابو طلال,970598256156
بقالة حسين جبارة,970598504382
بقالة خالد,970598416848
بقالة خالد للخضار والفواكه,970598117260
بقالة خضر كتانه,970598255392
بقالة رامي مخلص,970599509378
بقالة رشيد مصاروه,970598502393
بقالة ركان,970598762405
بقالة رنا راشد,970568715112
بقالة زهير قعدان,970599207562
بقالة زيد الطاهر,970569119104
بقالة سائد,970599931642
بقالة سجود,970568141399
بقالة سند,970568738045
بقالة شادي رداد,970569550025
بقالة شادي عامر,970592315465
بقالة شرفا,970599714159
بقالة صدوق,970598799461
بقالة طارق عسراوي,970568687159
بقالة طقاطقه,970569951010
بقالة عبد الاله عبد ربه,970598488361
بقالة عبد الغني,970599335686
بقالة عبد الفتاح,970598470405
بقالة عبد الناصر خلف للمواد الغذائية,970598588984
بقالة عدنان ابوزينه,970598416901
بقالة عصام غانم,970599780693
بقالة عصفور,970568788610
بقالة علاء ابو ارشيد,970598041412
بقالة علاء صدوق,970599828133
بقالة عليان,970599677222
بقالة عماد جيوسي,970598574629
بقالة عماد للمواد الغذائيه,970506982904
بقالة عمار,970599395878
بقالة فادي هارشه,970568095615
بقالة فارس هرشة,970568624325
بقالة فلسطين,970595273892
بقالة فنيش,970599812717
بقالة قصي,970594508071
بقالة كفاح للمواد الغذائية,970569353056
بقالة كمال للمواد الغذائية ,970595201126
بقالة ليالينا,970595738143
بقالة مأمون جعار,970595015337
بقالة مازن,970599817249
بقالة محمد بهاء ظاهر,970598235060
بقالة محمد دبور,970599235708
بقالة محمود كمال للمواد الغذائية,970598164310
بقالة معاذ الزبن,970598504509
بقالة نهاد,970598668195
بقالة هاني,970595093902
بقالة هاني,970599312213
بقالة هاني صباح للمواد التموينية والخضار   ,970598309280
بقالة وائل,970599185263
بقالة يوسف ابو لبدة,970599971085
بلياردو وانترنت ماهر,970569188199
بوتيك الطفل الانيق,970597656069
بوتيك العراب للشباب,970599430256
بوتيك انعام,970568307745
بيت المدخن,970568219008
بيت الهدايا,970598309372
بيلسان للالبسه,970597091752
تواصل للشوكولاته,970598964555
جنة للمنتوجات الغذائية,970599293448
جهاد لمواد التنظيف والكوزماتكس,970595778636
جواهر للذهب والمجوهرات,970599126008
حسام للاجهزة الكهرابئية المستعملة,970598547082
حسام للادوات الكهربائية المستعملة,970593800879
حسان لقص الزجاج,970569375905
حلويات ابو سماحة - كنافة على الحطب,970598164477
حلويات الكتانة,970598406223
حلويات وهريسة الزيكو,970595400628
حمد الله للادوات الكهربائية المستعملة,970568255936
حنحن للمواد المواد الغذائية والمجمدات,970599652870
خالد لتجميع وبيع الكمبيوتر,970569550213
دار هناء,970592557040
دفيئات ايمن للخضار,970597139326
دفيئات خالد كتانة للخضار,9705990931495
دفيئات زياد شكري لانتاج الخضار,970599974605
دفيئات محمود نصر الله للزراعة,970598921280
دفيئات ومحميات موسى البدو,970598190011
دكان احمد عقاب ابو عيسى,970599329272
دكان الامان,970598550769
دكان جلال جمعه,970597020427
ديكورات عبد الله جبارة,970594240557
رائد وصفي مصطفى ذياب,970598012300
راتب للمواد التموينيه,970567615607
رافت ابو زهري للاثاث المستعمل,970597528421
راية للاتصالات,970569850574
رايه فاشن,970569293418
رجب للمواد الغذائيه,970599311801
ريتال للشالات,970599935880
زهير رجب لتجارة الاغنام,970569336778
سالم للادوات المستعملة,970568400566
سبورت شادي,970569816773
سبورت لايف Sport life,970592290875
سمارت جروب ليمتد,970595224111
سمير لقطع الكمبيوتر والشاشات المستعملة,970568400202
سوبر ماركت ابو العبد,970599713545
سوبر ماركت ابو عدي,970592471417
سوبر ماركت ابو فراس,970598043482
سوبر ماركت اسيا,970569535763
سوبر ماركت الاحمد,970528351811
سوبر ماركت الامل,970569997164
سوبر ماركت البدر,970598712420
سوبر ماركت الشمال,970592370760
سوبر ماركت العائلة,970599934759
سوبر ماركت الفريد,970599949000
سوبر ماركت حموده,970597553539
سوبر ماركت عنان,970598917012
سوبر ماركت كتاني,970568065408
سوبر ماركت محمد,970599547465
سوبرماركت ابو البراء,970502581178
سوبرماركت الادهم,970599819253
سوبرماركت حاتم,970599474590
سوبرماركت محمود,970569581882
سوبرماركت مشارقة,970595037099
سوبرماركت مطلق,970599071529
سوق يافا للمستعمل,970599897430
شاهر للحداده,970598134200
شركة أكلنا للغذاء الطبيعي,970599256200
شركة الافكار الخضراء لتدوير النفايات,970595505059
شركة البيت المعمور للحج والعمرة,970599207040
شركة الحمزة الصناعية للتجارة والاستثمار,970599208484
شركة الخليج للاستشارات والتدريب,970599678494
شركة الريماس للتسويق الزراعي,970569123410
شركة السواعد الذهبية للبن والمواد الغذائية,970598166545
شركة القمة الدولية لسيدات اعمال العرب,970568096277
شركة الكرماوي للمقاولات والتشطيب,970569678657
شركة الياس للكوزمتكس والعطور,970595111846
شركة بي بوكس للتحف والهدايا,970599971216
شركة درة الانجاز للحج والعمرة,970594777710
شركة نور عبد الله نمبر فايف لبيع وصيانة الحاسوب,970568187935
شركة هارفست للمستلزمات الزراعية,970599203039
صالون Dior للتجميل,970599472905
صالون You First,970592334123
صالون ابو رمزي للرجال,970599220810
صالون ابو فوزي للرجال,970598324247
صالون احمد للحلاقة,970599329613
صالون اسامة للحلاقة,970594087078
صالون الامير,970599963241
صالون الاميرة,970599273293
صالون الاميرة فرح,970569387982
صالون الجمال,970597060087
صالون الجندي,970597839269
صالون الخال,970598369579
صالون الشباب,970597355422
صالون الشرق للحلاقه ومواد التجميل,970595031772
صالون العتيلي للحلاقة,970599389956
صالون الملكة لتلبيس العرايس,970568047136
صالون ثائر,970599293492
صالون خالد للتجميل,970598641570
صالون خلود,970566700898
صالون دنيا الجمال,970598559731
صالون رائد للحلاقة,970597891291
صالون روز,970597557918
صالون رويم للسيدات,970595075078
صالون سامح للرجال,970595381112
صالون سوبر ستايل,970568405442
صالون عميد,970599290194
صالون فلسطين,970568255773
صالون كتانه للحلاقه والاكسسوارات,970507533819
صالون ليان,970598746758
صالون ميامي,970599934454
صالون ميس للحلاقة,970567532830
صالون ميلانو للرجال,970599877919
صالون وجدان للسيدات,970599736014
صهيب للادوات المستعمله,970597432747
طحيمر للخضار,970597800879
عبد الجواد للمعدات الصناعية وادوات البناء,970599665669
عدنان لخدمات الانترنت,970599241831
عدي للادوات المستعملة,970569170665
عفيف للمستعمل,970569342309
علاء الدين للأدوات المستعملة,970599554987
عمر قزموز لبيع وتأجير الكراسي,970599723810
عمر للمفروشات,970594272313
غاز الأيهم,970599473205
فادي للمفروشات ومواد التنظيف,970592030010
فرحات للمستعمل,970569269892
قسم للادوات المستعملة,970568570201
كراج اكتابا لغسيل وصيانة المركبات,970599534423
كراج البيطار لتجليس ودهان السيارات,970599747200
كراج الرائد لتصليح السيارات,970569533755
كراج الطنبوز لتصليح السيارات,970597636941
كراج الطويل,970568017448
كراج بليبله لكهرباء السيارات,970599839278
كراج ستار جير,970599652617
كراج سلام لتجليس ودهان السيارات,970599876035
كراج سليط للسيارات,970599548792
كراج شويكة لقطع غيار السيارات,970569198152
كراج صايل عطا للتجليس والدهان,970568113022
كراج عبد الفتاح ابو شنب لصيانة السيارات,970599339578
كوزماتكس اشكال والوان,970599868440
كوفي شوب شيشة وارجيله,970595908128
لين لانجري,970568679447
مؤسسة نبيل ناجي للاجهزة الالكترونية,970599311816
مأمون لطيور والأسماك,970592501999
مؤيد لمستلزمات الحاسوب,970568292854
ماس للكمبيوتر,970599789496
مالك للستالايت,970597366839
مانديلا للادوات المستعمله,970599966828
مجتمع العطور,970568282336
مجد نصر الله للخضار والفواكه,970599661015
مجدي للادوات الكهربائية المستعملة,970597791117
محددة احمد خليل,970599877519
محددة الاسراء,970598986688
محددة الاسراء,970569111696
محددة الخاروف,970568100332
محددة الراس الحديثة,970598891494
محددة الشعراوية,970568412416
محددة الضميري,970568405825
محددة الغصون,970598603705
محددة الفيحاء,970568392446
محددة القدس الحديثة,970569900320
محددة اليرموك,970599982998
محددة باقة الشرقية,970599046770
محددة باقه الشرقيه,970598040825
محددة جهاد طعمه,970568369300
محددة زكريا,970599352717
محددة شويكة,970569549100
محددة صيام,970569717080
محددة ضمايره,970592230177
محددة عبد الرحمن ظافر,970597406870
محددة قاسم,970569700642
محددة مازن الحديثة,970569838352
محددة مدحت ملحم,970598129772
محددة مراد حجازي,970599396095
محددة منصور بلواني,970598155138
محددة وليد نجار,970598642977
محطة سوبر كلين الحديثة,970592555426
محطة عمان الكبرى للسيارات,970596323200
محل I Two للاتصالات,970569060029
محل أبو الفهد للأدوات المستعملة,970569999713
محل أحمد علان للأجهزة الخلوية,970569554665
محل أمل الفقراء,970598049746
محل إيفا فاشن,970569100194
محل ابراهيم لافي للادوات المستعملة,970598072285
محل ابراهيم لقطع السيارات المستعملة,970599535711
محل ابراهيم للادوات المنزلية,970599550701
محل ابراهيم مجدوبة للخضار والفواكه,970569560230
محل ابو اسلام للخضار والفواكه,970599426486
محل ابو العلاء للبراويز,970599115181
محل ابو الفية للادوات الكهربائية المستعملة,970525123406
محل ابو الوليد للدهانات,970569546020
محل ابو بكر للادوات الكهربائية الجديدة والمستعملة,970569520669
محل ابو تمام لبيع المواد الغذائيه,970528120292
محل ابو حجر للادوات المستعملة,970598967888
محل ابو زهري للادوات الصحية,970599477592
محل ابو سفاقة للملابس,970598456649
محل ابو شعلة للادوات المستعملة,970599746018
محل ابو شنب للأدوات المستعملة,970597480370
محل ابو شهاب للادوات المستعملة,970599375628
محل ابو عمار لبيع العدد,970598168594
محل ابو فهمي للغاز,970599273388
محل ابو لبده للخضار والفواكه,970599426938
محل ابو لبده للمستعمل,970599548910
محل ابو ماضي للادوات المستعملة,970597593898
محل ابو واصف للمواد الغذائية,970599435865
محل ابو يزن للمستعمل,970599824914
محل ابوتقيوي للمواد الغذائية,970597224812
محل ابوخليل للادوات المستعمله,970568117701
محل ابوزيتون للمواد الغذائيه,970597055594
محل احذية خالد,970598568737
محل احمد بدير للخضار والفواكه,970599972800
محل احمد جابر للاعلاف,970598056266
محل احمد صبحة للمستعمل,970599975487
محل احمد صبحه للمواد الغذائيه,970595449695
محل احمد طنبوز لبناشر السيارات,970599312179
محل احمد عامر لبيع مواد البناء والادوات الصحية,970598156758
محل احمد لبناشر السيارات وغيار الزيت,9705689853370
محل احمد للأثاث المستعمل,970597072989
محل احمد للخضار,970597313931
محل اسامة لبيع مواد التنظيف,970597245511
محل اسامة للاثاث المستعمل,970599228369
محل اسامه لبيع الاخشاب,970568733515
محل اسعد حرب للاجهزة الخلوية,970599083501
محل اسعد حلو لبيع الغاز,970569684954
محل اسلام للمستعمل,970599477595
